Group,Sample ID (as in QField),Alkalinity (Âµmol/L),CO2 (mg/L),Corrected alkalinity (Y/N)
BSPM,BSPM6,4163.170873,185.1,
BSPM,BSPM7,3636.517426,227.1,
BSPM,BSPM8,3654.776205,200.6,
BSPM,BSPM9,3640.959223,219.9,
BSPM,BSPM10,3599.92329,167.4,
RAJA,RAJA6,3886,189.7,
RAJA,RAJA7,3790,140.7,
RAJA,RAJA8,3789,184.3,
RAJA,RAJA9,3711,213.9,
RAJA,RAJA10,3865,222.3,
JAWN,JAWN8,3468,195.1,
JAWN,JAWN9,3404,169.3,
JAWN,JAWN10,3338,205.8,
JAWN,JAWN6,3147,160,
JAWN,JAWN7,3234,205,
RJLM,RJLM6,6139.1939,247.2,y
RJLM,RJLM7,4475.8109,219.9,y
RJLM,RJLM8,4499.1122,219.3,y
RJLM,RJLM9,4435.4206,216.2,y
RJLM,RJLM10,4271.6814,243.1,y
AOJE,AOJE6,3029.65,126.5,y
AOJE,AOJE7,NaN,241.1,y
AOJE,AOJE8,2546.44,241.8,y
AOJE,AOJE9,2552.14,197.7,y
AOJE,AOJE10,2516.47,204.3,y